"TIME","GEO","UNIT","SEX","AGE","Value"
"2020W34","Arr. Tongeren","Number","Total","90 years or over","5"
"2020W35","Arr. Tongeren","Number","Total","90 years or over","7"
"2020W36","Arr. Tongeren","Number","Total","90 years or over","5"
"2020W37","Arr. Tongeren","Number","Total","90 years or over","8"
"2020W38","Arr. Tongeren","Number","Total","90 years or over","6"
"2020W39","Arr. Tongeren","Number","Total","90 years or over","5"
"2020W40","Arr. Tongeren","Number","Total","90 years or over",":"
"2020W41","Arr. Tongeren","Number","Total","90 years or over",":"
"2020W99","Arr. Tongeren","Number","Total","90 years or over",":"
"2020W28","Prov. Oost-Vlaanderen","Number","Total","90 years or over","44"
"2020W29","Prov. Oost-Vlaanderen","Number","Total","90 years or over","50"
"2020W30","Prov. Oost-Vlaanderen","Number","Total","90 years or over","64"
"2020W31","Prov. Oost-Vlaanderen","Number","Total","90 years or over","78"
"2020W32","Prov. Oost-Vlaanderen","Number","Total","90 years or over","64"
"2020W33","Prov. Oost-Vlaanderen","Number","Total","90 years or over","99"
"2020W34","Prov. Oost-Vlaanderen","Number","Total","90 years or over","58"
"2020W35","Prov. Oost-Vlaanderen","Number","Total","90 years or over","63"
"2020W36","Prov. Oost-Vlaanderen","Number","Total","90 years or over","53"
"2020W37","Prov. Oost-Vlaanderen","Number","Total","90 years or over","46"
"2020W38","Prov. Oost-Vlaanderen","Number","Total","90 years or over","51"
"2020W39","Prov. Oost-Vlaanderen","Number","Total","90 years or over","54"
"2020W40","Prov. Oost-Vlaanderen","Number","Total","90 years or over",":"
"2020W41","Prov. Oost-Vlaanderen","Number","Total","90 years or over",":"
"2020W99","Prov. Oost-Vlaanderen","Number","Total","90 years or over",":"
"2020W28","Arr. Aalst","Number","Total","90 years or over","11"
"2020W29","Arr. Aalst","Number","Total","90 years or over","9"
"2020W30","Arr. Aalst","Number","Total","90 years or over","6"
"2020W31","Arr. Aalst","Number","Total","90 years or over","10"
"2020W32","Arr. Aalst","Number","Total","90 years or over","13"
"2020W33","Arr. Aalst","Number","Total","90 years or over","19"
"2020W34","Arr. Aalst","Number","Total","90 years or over","7"
"2020W35","Arr. Aalst","Number","Total","90 years or over","14"
"2020W36","Arr. Aalst","Number","Total","90 years or over","9"
"2020W37","Arr. Aalst","Number","Total","90 years or over","10"
"2020W38","Arr. Aalst","Number","Total","90 years or over","8"
"2020W39","Arr. Aalst","Number","Total","90 years or over","7"
"2020W40","Arr. Aalst","Number","Total","90 years or over",":"
"2020W41","Arr. Aalst","Number","Total","90 years or over",":"
"2020W99","Arr. Aalst","Number","Total","90 years or over",":"
"2020W28","Arr. Dendermonde","Number","Total","90 years or over","7"
"2020W29","Arr. Dendermonde","Number","Total","90 years or over","5"
"2020W30","Arr. Dendermonde","Number","Total","90 years or over","3"
"2020W31","Arr. Dendermonde","Number","Total","90 years or over","16"
"2020W32","Arr. Dendermonde","Number","Total","90 years or over","9"
"2020W33","Arr. Dendermonde","Number","Total","90 years or over","14"
"2020W34","Arr. Dendermonde","Number","Total","90 years or over","7"
"2020W35","Arr. Dendermonde","Number","Total","90 years or over","6"
"2020W36","Arr. Dendermonde","Number","Total","90 years or over","5"
"2020W37","Arr. Dendermonde","Number","Total","90 years or over","2"
"2020W38","Arr. Dendermonde","Number","Total","90 years or over","5"
"2020W39","Arr. Dendermonde","Number","Total","90 years or over","9"
"2020W40","Arr. Dendermonde","Number","Total","90 years or over",":"
"2020W41","Arr. Dendermonde","Number","Total","90 years or over",":"
"2020W99","Arr. Dendermonde","Number","Total","90 years or over",":"
"2020W28","Arr. Eeklo","Number","Total","90 years or over","3"
"2020W29","Arr. Eeklo","Number","Total","90 years or over","3"
"2020W30","Arr. Eeklo","Number","Total","90 years or over","7"
"2020W31","Arr. Eeklo","Number","Total","90 years or over","7"
"2020W32","Arr. Eeklo","Number","Total","90 years or over","3"
"2020W33","Arr. Eeklo","Number","Total","90 years or over","10"
"2020W34","Arr. Eeklo","Number","Total","90 years or over","4"
"2020W35","Arr. Eeklo","Number","Total","90 years or over","2"
"2020W36","Arr. Eeklo","Number","Total","90 years or over","1"
"2020W37","Arr. Eeklo","Number","Total","90 years or over","3"
"2020W38","Arr. Eeklo","Number","Total","90 years or over","2"
