"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
141,4153,1618,502,1410,2022,5552,8879,7,0.29863912645903934,1023,588,0.5747744401325501,1
142,4048,1581,504,1373,1988,5446,9090,7,0.2929374428486902,1035,589,0.5690766272789635,1
143,3935,1573,494,1325,1923,5315,9334,7,0.2858910225377871,1047,596,0.5692400263607797,1
144,3837,1531,475,1297,1905,5208,9539,7,0.2801355494594158,1061,603,0.5683264059716685,1
145,3750,1477,457,1283,1858,5075,9758,8,0.2729815502124684,1071,604,0.5639536512264125,1
146,3657,1434,458,1253,1811,4956,9969,9,0.2665806035178312,1086,615,0.5662931280559111,1
147,3574,1393,446,1219,1796,4854,10154,9,0.2610940777795708,1099,619,0.5632341834924159,1
148,3488,1351,428,1198,1755,4732,10362,9,0.2545317626808671,1110,619,0.5576526337600562,1
149,3413,1293,429,1180,1716,4618,10551,9,0.2483997633263407,1118,623,0.5572400962424308,1
150,3317,1275,422,1145,1654,4496,10768,10,0.24183744822763703,1128,626,0.5549596191523125,1
151,3225,1266,406,1129,1586,4387,10969,10,0.23597439621322144,1140,630,0.5526267313444619,1
152,3164,1192,411,1109,1568,4280,11134,13,0.2302189231348502,1150,628,0.5460822079808002,1
153,3093,1160,394,1097,1524,4175,11310,13,0.22457102899252326,1163,633,0.5442773492919235,1
154,3034,1102,385,1096,1484,4067,11477,13,0.21876176644612985,1176,638,0.5425123936020952,1
155,2970,1071,385,1067,1416,3939,11668,14,0.21187671453929321,1185,637,0.5375482063442503,1
156,2895,1049,388,1031,1375,3843,11838,15,0.20671292560916574,1193,636,0.5331053385973294,1
157,2821,1033,377,1015,1335,3760,11994,16,0.20224839976332634,1201,637,0.5303869243386816,1
158,2750,1025,350,1011,1275,3661,12164,16,0.19692324242913237,1211,640,0.5284844881545157,1
159,2678,1006,339,996,1244,3585,12312,16,0.1928352428594481,1225,647,0.5281589538044588,1
160,2619,960,341,966,1209,3476,12479,17,0.18697219084503255,1236,651,0.5266947678416841,1
161,2572,916,333,953,1167,3369,12630,20,0.1812167177666613,1244,650,0.522503838393582,1
162,2526,891,318,918,1124,3251,12794,20,0.17486956054004626,1251,648,0.5179814709714551,1
163,2464,859,310,902,1092,3163,12944,20,0.17013608735409608,1260,647,0.51348798819057,1
164,2403,848,297,886,1059,3090,13078,20,0.1662094561884783,1269,645,0.5082702263969551,1
165,2350,819,276,880,1034,3009,13212,20,0.16185250927868322,1280,648,0.5062460449527738,1
166,2294,794,267,859,1008,2928,13348,21,0.15749556236888818,1289,651,0.5050387506691182,1
167,2237,775,248,849,989,2861,13472,21,0.15389166801140336,1296,650,0.5015393399742286,1
168,2182,762,241,828,965,2796,13592,21,0.1503953525899629,1302,647,0.4969239867589343,1
169,2133,739,231,807,931,2708,13728,22,0.1456618794040127,1306,642,0.4915735714121638,1
170,2082,728,234,786,895,2643,13844,22,0.1421655639825722,1313,643,0.4897144728524535,1
171,2036,711,233,774,863,2581,13952,22,0.13883061696519822,1319,640,0.4852123941440929,1
172,1990,704,221,731,839,2495,14083,23,0.13420472271529235,1328,644,0.48493610740882975,1
173,1956,667,214,705,824,2410,14202,23,0.12963261793340863,1333,642,0.48161679207207747,1
174,1915,645,210,690,800,2345,14307,24,0.12613630251196817,1342,646,0.481367500987325,1
175,1880,624,210,664,794,2292,14393,26,0.12328546070679361,1346,643,0.4777081893893805,1
176,1838,607,189,652,780,2228,14499,26,0.11984293475337529,1353,642,0.4744976016437425,1
177,1800,600,187,632,750,2169,14594,28,0.11666935614006778,1359,637,0.46872355611805655,1
178,1765,580,186,618,718,2102,14696,28,0.11306546178258298,1366,641,0.4692498590786305,1
179,1741,551,181,604,707,2043,14778,29,0.10989188316927545,1371,640,0.46680914070648644,1
180,1711,531,176,579,688,1974,14875,31,0.10618040987574633,1378,638,0.4629864805044956,1
181,1681,507,179,550,668,1904,14973,33,0.10241514711419504,1385,636,0.4592024606320532,1
182,1651,482,177,525,658,1842,15064,34,0.09908020009682104,1390,638,0.45898950367263547,1
183,1626,468,172,511,632,1783,15147,35,0.09590662148351353,1395,635,0.45519386957799585,1
184,1598,460,164,498,614,1736,15222,35,0.09337851648647195,1399,631,0.45103323064166806,1
185,1569,446,162,485,590,1683,15304,35,0.0905276746812974,1405,629,0.44768364637974106,1
186,1550,412,160,470,582,1624,15382,35,0.08735409606798988,1410,627,0.4446776973212956,1
187,1515,414,146,462,571,1593,15447,36,0.08568662255930289,1416,625,0.441381063693053,1
188,1481,410,143,455,552,1560,15513,37,0.08391157011457157,1418,621,0.43793767321810145,1
189,1454,405,137,434,526,1502,15596,39,0.08079178096928621,1426,623,0.4368833318139424,1
190,1434,392,133,418,509,1452,15666,39,0.07810230756817815,1433,621,0.4333535704565914,1
191,1419,371,124,411,498,1404,15729,39,0.07552041310311441,1438,623,0.43323759918220317,1
192,1399,357,131,382,482,1352,15800,40,0.07272336076596203,1442,620,0.4299554094631799,1
193,1379,344,133,368,458,1303,15868,41,0.07008767683287612,1443,610,0.42272749322596515,1
194,1364,320,129,364,449,1262,15924,41,0.0678823086439675,1448,607,0.41919600002762414,1
195,1349,315,123,356,424,1218,15983,41,0.06551557205099241,1453,605,0.4163770380107501,1
196,1323,303,119,354,409,1185,16041,42,0.06374051960626109,1457,601,0.4124885896459187,1
197,1305,293,123,338,388,1142,16100,44,0.06142757248130816,1462,596,0.4076579503560167,1
198,1285,286,125,342,371,1124,16138,44,0.06045936205690926,1464,585,0.39958743451205936,1
199,1271,268,111,349,362,1090,16186,44,0.058630520144155776,1467,581,0.3960436534174955,1
200,1255,254,111,339,352,1056,16235,45,0.056801678231402294,1472,580,0.3940190623705002,1
201,1240,239,105,334,341,1019,16285,47,0.05481146791458232,1476,579,0.3922737650828924,1
202,1217,241,101,328,327,997,16329,48,0.053628099618094775,1478,570,0.3856536829926726,1
203,1205,234,93,321,321,969,16369,48,0.05212199451347426,1482,566,0.3819137522688781,1
204,1195,227,90,311,304,932,16414,50,0.050131784196654296,1485,566,0.38114221453054187,1
205,1183,219,85,305,296,905,16452,51,0.04867946856005594,1490,564,0.3785209495238287,1
