ANNOSCOLASTICO,CODICESCUOLA,CODICEEDIFICIO,SPERFICIEAREATOTALE,SPERFICIEAREALIBERA,VOLUME
201819,MEAA869057,830482964,"2.266,00",-,12550
201819,BSAA8AM014,171330577,"9.830,00","5.775,00",22912
201819,VRMM8AD01A,230711141,"7.089,55","5.716,57",4751.77
201819,CRSL00801R,190360283,"6.800,00","3.688,00",18700
201819,SAIC815005,651191744,"1.907,00","1.012,00",8693
201819,BSAA898018,171030001,"4.300,00","3.124,00",3957
201819,FIEE863045,480360005,"4.800,00","3.525,00",14300
201819,REAA818014,350020003,"4.800,00","3.270,00",6000
201819,BGMM85202G,161200553,"14.805,00","10.976,00",22865
201819,VREE87601P,230913621,"9.437,00","7.782,00",11202
201819,PGIS03600T,540170535,"1.205,00","289,00",4862
201819,BORI003012,370390438,"5.550,00","4.974,00",7600
201819,RIEE81805R,570150107,"1.985,00","1.500,00",2450
201819,FOEE82503E,400120155,"12.254,00","9.501,00",7959
201819,MOEE06002C,360460252,"4.190,00","3.055,00",4540
201819,LUEE81101R,460055018,"2.734,00","130,00",8463
201819,AVTD01201V,640441891,"4.600,00","2.062,00",20880
201819,BLIC82000L,250223424,"6.300,00","4.753,00",4600
201819,PGIC85900A,540390006,"7.640,00","4.900,00",28076
201819,BAEE09502E,720190409,"5.400,00","3.242,00",7701
201819,RMEE8GX013,580910863,"22.850,00",-,612
201819,PDEE83702B,280391843,"17.530,00","14.977,00",4017
201819,VTMM834016,560590369,"12.230,00","10.180,00",7738
201819,PDEE87408L,280551887,"2.328,00","1.587,00",2358
201819,CZAA839048,790170854,"2.670,00","1.485,00",5628
201819,TOAA81304D,10260001,"1.710,00","1.335,00",1875
201819,PCEE80901G,330070116,"3.500,00","2.800,00",4690
201819,MNAA83401X,200550102,"3.400,00","2.400,00",4000
201819,MIAA8BU02T,151761619,"8.850,00","7.082,00",3719
201819,MCAA816019,430530099,"5.400,00","3.711,00",14180
201819,AQEE00600B,660491525,"9.850,00",-,9879
201819,PAAA033024,820534565,"4.400,00","3.300,00",2112
201819,UDRI00701P,300260014,"17.270,00","7.000,00",7000
201819,RMMM8FB018,580911026,"9.180,00","5.210,00",13627
201819,RAMM059004,390120227,"5.322,00","2.681,00",24602
201819,FGPS04201R,710291153,"8.071,00","5.883,00",20200
201819,RNRC006519,990140793,"18.680,00","10.248,00",71330
201819,POAA82203L,1000030001,"930,00","609,00",1061
201819,NUTL00301D,910511160,"9.366,00","7.460,00",6040
201819,MIIC87100D,1080451396,"8.730,00","6.557,00",15255
201819,RCAA85306B,800430131,"3.550,00",-,2820
201819,PEEE037709,680240163,"4.389,00","4.119,00",2012
201819,FREE83701T,600030263,"2.650,00","1.930,00",10680
201819,PAIC854006,820534481,"5.984,00",-,11376
201819,MEEE886034,830973451,"1.455,00","1.055,00",2520
201819,CACT703001,1110770529,"7.000,00","4.700,00",16000
201819,SAMM8A0013,650311124,"4.000,00","2.500,00",12000
201819,ARRH016507,510170020,"2.000,00",-,12400
201819,MIEE831048,1080370844,"4.500,00","2.800,00",14500
201819,CEPS02801D,610051957,-,-,-
201819,VATD009016,121200001,"3.366,00",-,10400
201819,BGEE82702X,161310505,"4.850,00","3.180,00",8266
201819,TPRI026019,810122400,"2.000,00","200,00",21600
201819,CEMM8AM034,610841719,"1.150,00","2.281,00",6108
201819,POAA80501R,1000050152,"9.847,00","6.383,00",27712
201819,TSPC00401R,320060014,"1.527,00",-,36245
201819,RMEE8AS01B,580560823,"1.100,00",-,9288
201819,MIEE8FN018,151820952,"4.665,00","2.817,00",13115
201819,TVTA018011,260123783,"31.455,00","27.426,00",5186
201819,VCMM809023,20300002,"4.466,00","3.184,00",3928
201819,AOIC011000,70549200,"1.490,97",-,4960.82
201819,TSEE81501T,320060024,"12.470,00","10.770,00",38000
201819,SAEE8BJ01E,650220006,"687,00",-,2060
201819,NUMM86201D,910050269,"13.780,00","8.847,00",5400
201819,BAAA811024,720230297,"3.500,00","2.791,00",2340
201819,RCEE834023,800180357,"609,00","400,00",1005
201819,MIEE8F202T,151463349,"4.670,00",-,45888
201819,CEAA04404T,610521937,-,-,-
201819,SOEE81702V,140550110,"1.300,00","1.080,00",3300
201819,VEAA82304C,270202109,"4.130,00","2.405,00",8162
201819,CTRH05000N,870340001,"1.000,00",-,2500
201819,SOPS00801G,140661718,"8.000,00","5.000,00",11000
201819,TOMM874012,13090003,"3.128,00",-,12902
201819,NOEE82402G,31060020,"4.110,00","2.823,00",8209
201819,CTEE8AT02E,870040988,"6.203,00","4.326,00",7020
201819,NAAA8F7018,630630134,"3.670,00","2.323,00",4700
201819,RGAA00403X,880090638,"365,00",-,4150
201819,PZAA83105X,760050257,"1.048,00","590,00",4850
201819,RMEE8FH018,580910562,"24.000,00",-,16590
201819,CNAA86002C,40780020,"1.561,00","1.059,00",3654
201819,SAAA895086,650991223,"7.550,00","5.654,00",6600
201819,MCMM81501N,430530699,"7.634,00","5.447,00",4125
201819,LEPS014013,750881237,"6.600,00",-,21600
201819,BSPS00902B,170880964,"12.520,00","6.994,00",2390
201819,RGEE81005D,880063564,"4.100,00","2.500,00",12175
201819,PDIC89400C,280340811,"780,00","612,00",932
201819,MNAA81603C,200571284,"5.982,00","5.145,00",3515
201819,BGTA03101C,160240009,"43.880,00","33.675,00",3784
201819,LEEE07100P,750351201,"4.558,00","2.548,00",19400
201819,RMTF09401B,580911670,"1.300,00",-,21200
201819,RITD00101G,570270907,"31.000,00",-,18000
201819,NAAA85303C,630741984,"2.700,00",-,2380
201819,BRMM81401R,740010230,"3.500,00","324,19",25578
201819,CTMM8AK01L,870232107,"630,00",-,4823
201819,CSEE873034,780580570,"750,00",-,2600
201819,PGMM813012,540100521,"2.625,00","300,00",4485
201819,PDEE85003V,280013470,"3.658,00","2.623,00",7576
201819,VIEE80701X,240703361,"6.126,00","5.062,00",11917
201819,PDIC85000P,280013469,"9.652,00","6.227,00",28157
201819,CSAA84103B,781220701,"1.100,00","848,00",1121.4
201819,ATAA81506B,51130003,"600,00","250,00",700
201819,MTPM01000G,770141002,-,-,-
201819,NAAA8CV01R,630490047,"2.000,00",-,1900
201819,SPEE807048,110260116,"3.771,00","2.546,00",7061
201819,VTEE835024,560590056,"1.863,00","350,00",10100
201819,PDRI07000P,280604217,"3.850,00","1.424,00",450
201819,ALAA83302Q,60390031,"1.690,00","1.317,00",1791
201819,FITD01101N,480520014,"32.068,00","13.586,00",30955
201819,NAIC8FQ007,630771294,"5.200,00","3.000,00",10300
201819,CAEE84402D,921080774,"1.207,00",-,6604
201819,MIEE82602P,1080090803,"3.767,00","2.672,00",9100
201819,MIAA81301A,151910001,"3.950,00","3.010,00",2850
201819,CRPC001012,190210260,"7.130,00","5.010,00",20080
201819,NAMM15100Q,630010407,"6.477,00","3.644,00",7654
201819,MEEE85301P,830803536,"1.301,00","890,00",2497
201819,LTMM83701C,590010310,"8.620,00","5.240,00",2544
201819,CSEE8AJ05V,780170479,"729,51",-,2188.53
201819,BNRH030005,620081270,"10.909,00","6.689,00",15007
201819,LUAA828033,460285005,"250,00","170,00",1980
201819,RMAA8FF03D,580910075,"1.662,00","1.330,00",1013
201819,MSEE81901A,450100033,"1.450,00","972,00",1710
201819,PGAA85303A,540390035,"203,00",-,730
201819,RNEE01601E,990180303,"7.121,00","5.701,00",3074
201819,RMAA8GP02V,580320725,"5.500,00",-,-
201819,TAEE810015,730160156,"3.972,00","2.099,76",14984.32
201819,RMMM8BH01R,580703155,"381,00",-,4691.25
201819,SSEE83903B,900640007,"8.435,00","6.190,00",28275
201819,ISAA83301E,940240050,"201,00",-,704
201819,RNAA018011,990180128,"1.942,00","1.335,00",2307
201819,KREE82503D,1010180112,"3.000,00","2.019,00",3200
201819,PSAA81802E,410440005,"1.018,00","723,00",1018
201819,TOTA044026,11730005,-,-,6630
201819,TVEE868058,260553071,"4.890,00","3.887,00",7321
201819,CTMM89601R,870151858,"3.250,00",-,865
201819,TOEE86802R,11150007,"3.845,00","3.012,00",3426
201819,BAIS06700A,720110824,"11.300,00","5.000,00",31900
201819,NAEE8CF01T,630491433,"16.236,00","10.036,00",7200
201819,LERI02101B,750392236,"5.702,00","2.000,00",3000
201819,ALMM809023,60430001,"1.550,00","1.350,00",6530
201819,NAEE01700C,630491484,"6.526,00","1.502,00",32630
201819,TRAA815015,550130039,"821,00","614,00",996
201819,SPMM814017,110150141,"6.045,00","3.745,00",13000
201819,TVAA86902Q,260210778,"2.545,00","3.834,00",4946
201819,FRAA835011,600440159,"1.500,00","695,00",2236
201819,CTEE86401A,870152082,"2.482,00",-,10713
201819,NAMM8B0017,630490631,"5.331,32","1.575,82",26247
201819,SAAA80901P,650210001,"4.331,00","2.204,00",7721
201819,TOAA8BL044,13020006,"2.385,00","1.733,00",2585
201819,CTAA881031,870151473,"973,00",-,2183
201819,PVIC80400C,180880161,"7.842,00","5.492,00",33500
201819,CREE81601A,190211528,"16.000,00","11.750,00",29750
201819,AQAA002087,660490027,"1.500,00",-,1331
201819,FGEE87301X,710200215,"1.965,00","765,00",13320
201819,BSTD00701E,170681069,"26.936,00","18.984,00",10640
201819,ARMM81401X,510350001,"2.690,00","1.500,00",533
201819,AREE81102E,510260013,"1.206,00",-,3576
201819,CREE82804Q,191110119,"1.515,00","610,00",6400
201819,MOMM81801V,360450249,"9.300,00","5.500,00",36400
201819,BAAA883022,720241476,"2.467,00","1.951,00",2241
201819,CSEE85501C,781430736,"3.150,00","1.020,00",6205
201819,TVIC81400N,260932954,"3.237,00","2.451,00",2090
201819,PDMM874029,280611817,"7.733,00","5.344,00",14687
201819,FIPS01101T,480520016,"1.464,00","895,00",3687
201819,UDEE852031,300870002,"11.422,00","11.422,00",5080
201819,VAEE831057,120960245,"5.780,00","3.540,00",19040
201819,NAIC812007,630491963,"1.459,00",-,4377
201819,CEEE86801B,610030608,"2.132,00","1.032,00",1600
201819,PZIC83800N,760980344,"7.222,00","7.222,00",10608
201819,IMAA80903E,80310004,"1.200,00","700,00",1956
201819,NAEE82501B,630491832,"10.528,00","5.556,00",22522
201819,TOEE8AQ02Q,11360002,"2.742,00","1.786,00",5050
201819,CHIC820001,690150341,"7.500,00","5.800,00",13689
201819,GEAA84701Q,100280261,"7.329,00","4.897,00",20912
201819,FIAA85502V,480170036,"1.870,00","1.260,00",2684
201819,TORA00601E,10470007,"2.100,00","989,00",-
201819,NAEE341033,630450981,"12.600,00","9.270,00",3783
201819,CZRH05050Q,791601080,"6.100,00","3.160,00",24863
201819,MOEE83002G,360400230,"8.413,00",-,14584
201819,CAIC87700N,1110710995,"9.713,00","7.977,00",2479
201819,GREE82204B,530280002,"2.980,00","1.957,00",6008
201819,TORI01702N,12700004,"4.565,00","1.669,00",34914
201819,RMEE85703X,580910368,"950,00",-,1676
201819,VVEE826053,1020470807,"3.180,00","1.794,00",6107.1
201819,RMEE8AC014,580600781,"9.970,00",-,3200
201819,RMEE82301P,580910315,"5.850,00","4.295,00",11816
201819,AVAA005039,640080159,"11.000,00","8.528,00",18486
201819,MNIC819001,200420289,"11.176,00","8.520,00",9550
201819,PREE81604P,340390027,"4.000,00",-,806
201819,AOAA018050,70427400,"1.290,00","600,00",2180
201819,TPEE82602L,810213772,"2.131,00","2.781,00",2955
201819,CLMM82001E,850180506,"10.142,00","6.364,00",12756.9
201819,VVAA817031,1020300756,"1.100,00",-,1350
201819,PAIS00100T,820705000,"3.762,00","1.724,00",14145
201819,NAEE150023,630471543,"300,00","190,00",330
201819,CTTD04902N,870182932,"20.470,00","15.722,00",1766
201819,SRMM861012,890174959,"8.091,00","4.170,00",14086
201819,SAMM836017,650130604,"10.400,00","8.163,00",3720
201819,APAA80603N,440710115,"1.270,00","973,00",1210
201819,ORMM82001V,950380129,"1.800,00","270,00",9502
201819,SSIS00300L,900640462,"35.000,00",-,29338
201819,FRMM81101L,600580507,"3.500,00","1.872,00",4308
201819,CLIC819009,850124990,"5.360,00","3.839,00",10970
201819,VVMM831019,1020470441,"2.100,00","1.469,00",2965.7
201819,CTMM837011,870301308,"1.300,00","300,00",14300
201819,AGIC82400C,840010071,"6.000,00","2.500,00",12000
201819,BSTD02801G,170290282,"4.608,00","3.349,00",7487
201819,MEEE81702L,830413782,"1.190,00",-,2688
201819,PIMM84203R,500390201,"3.141,00",-,20338
201819,NUMM871018,910170434,"4.425,00","4.056,00",4090
201819,CZMM86202B,791600619,"675,00","100,00",6000
201819,TVEE84402L,260011065,"3.719,00","2.882,00",4352.16
201819,FREE80401E,600420362,"3.204,00","1.930,00",6497
201819,LITF03050P,490090015,"19.956,00","11.170,00",2740
201819,SRIC845003,890211550,"3.108,00","1.848,00",10788
201819,FGAA87302Q,710200912,"1.440,00","815,00",3437
201819,BARH02401L,720030771,"6.900,00","4.250,00",28790
201819,SREE853014,890144802,"8.128,00","262,00",10136
201819,SIAA822031,520220007,"5.280,00","3.070,00",6630
201819,SSTD09000T,900471145,"2.500,00","417,00",17340
201819,RCMM817017,800310978,"1.400,00","900,00",4000
201819,PGEE847027,540230155,"5.885,00","4.765,00",5740
201819,VTAA80803G,560600452,"2.800,00","2.033,00",4814.6
201819,VREE832011,230461098,"2.878,00","1.337,00",3183
201819,LEIS01400L,750881237,"6.600,00",-,21600
201819,COIC811002,130430453,"1.513,00","2.003,00",5522.4
201819,SSRA01101G,900471171,"75.604,00","72.315,00",1122
201819,LEPC01000G,750390585,"6.700,00",-,4800
201819,NOAA81001B,30320003,"4.908,00","4.440,00",3531
201819,BGMM85301A,161240253,"5.250,00","1.937,00",6285
201819,MIPS290006,151680001,-,-,-
201819,CSEE84101E,781220002,"4.798,00","2.852,00",3448.18
201819,MCEE834014,430130039,"1.685,00","1.075,00",5690
201819,CRRC011018,190350447,"3.285,00","388,00",39688
201819,LEEE861036,750160468,"5.960,00","3.985,00",2210
201819,FIEE862016,480520007,"17.990,00",-,5230
201819,TPIC831001,810082274,"1.454,00","14,00",18432
201819,BAEE82901D,720210418,"3.540,00","182,00",11150
201819,AGPS030009,840011540,"6.213,00","2.600,00",11113
201819,LUAA83902C,460335047,"4.062,00","1.165,00",14127
201819,UDMM80901G,300290002,"3.950,00","2.555,00",9190
201819,TOAA8AS03L,11800001,"390,00","160,00",700
201819,PZMM874074,760740259,"713,00","120,00",6442
201819,SAAA044024,650371025,"2.094,00","1.203,00",3738
201819,FRIS006008,600101848,"480,00",-,2400
201819,ANEE850018,420140829,"3.457,00","1.998,00",1084
201819,MIMM8EE01L,150271170,"4.647,00",-,14291
201819,CZEE84603G,790800512,"910,00","2.500,00",3000
201819,GREE816022,530180010,"3.429,00","2.548,00",5667
201819,FGMM85804X,710230279,"150,00",-,8714
201819,LCEE82703D,970421794,"3.822,51","2.124,50",13780.95
201819,LTAA84303N,590240102,"19.000,00","14.600,00",5200
201819,NUEE83506B,910930222,"3.930,00","2.102,00",16600
201819,CAEE848072,1110380378,"5.031,00","3.952,00",7171
201819,MIEE8B8019,151460410,"9.064,00",-,55815
201819,TOEE8BM045,11730006,"4.000,00","2.783,00",3725
201819,MEAA864032,830483378,"1.570,00","945,00",2860
201819,LTRA01602G,590111759,"80.000,00",-,1098
201819,NUVC040009,910950441,"128.000,00",-,12757
201819,RCAA85305A,800430130,"100,00",-,330
201819,CEEE806014,611040721,"3.172,00","1.928,00",1842
201819,ROEE80701B,290440951,"3.300,00","1.982,00",7192
201819,SIRC00901P,520120011,"19.140,00","7.172,00",17128
201819,CETD010003,610051964,"27.555,00",-,44817.5
201819,CEEE86604V,610660001,"1.071,00",-,4212.6
201819,TRTD00901B,550232574,"4.910,00","2.724,00",7659
201819,LEAA823047,750260292,"1.628,00","766,00",8597
201819,PIRI02000G,500290315,"14.590,00","8.910,00",68160
201819,TVEE86602D,260210788,"5.500,00","4.750,00",6000
201819,MIEE859011,1080300065,"14.530,00","12.710,00",10140
201819,LETD039017,750222196,"14.818,00","9.964,00",19377
201819,CEMM8A001P,610220003,"4.095,00","3.538,00",4456
201819,PTEE829029,470140608,"2.209,00","1.309,00",9432
201819,SPAA80204X,110060024,"450,00","278,00",834
201819,TVTA018011,260123782,"31.455,00","27.426,00",6671
201819,TAAA85501D,730210351,"2.238,00","1.568,00",2010
201819,AVAA871037,640980001,-,-,-
201819,CTEE8AK02P,870232124,"984,00","558,00",1488
201819,CSAA87501C,781040311,"4.772,00","3.374,00",16029
201819,SRAA851017,890163364,"5.825,00","3.943,00",7426
201819,MIEE8DM01G,1080210521,"5.670,00","3.865,00",15250
201819,PARH001012,820142087,"720,00","704,00",2493
201819,KRAA82102X,1010060078,"5.500,00","4.922,00",1790
201819,CAAA895025,1110960088,"4.110,00","3.116,00",3182
201819,NAAA8F7029,630630133,"786,00","1.900,00",2358
201819,MIEE894018,1080410126,"12.596,00","8.423,00",18535
201819,GRRI001509,530090302,"10.000,00","7.930,00",4981
201819,MOEE820032,360080257,"1.706,00",-,6526
201819,BGIC8AE00E,162190414,"8.530,00","4.660,00",17425
