"step","susceptible_status","exposed_status","infected_presymptomatic_status","infected_symptomatic_status","infected_asymptomatic_status","infected_status","recovered_status","dead_status","infected_rate_status","tested_diagnosis","positive_diagnosis","positive_rate_diagnosis","replicate"
229,8249,160,31,96,157,444,2474,0,0.03976000716396526,672,95,0.14136694394428653,1
230,8237,160,30,101,155,446,2484,0,0.03993910629533447,681,101,0.1483091290876786,1
231,8225,157,34,97,152,440,2502,0,0.039401808901226826,686,105,0.15305899330913544,1
232,8219,152,34,94,149,429,2519,0,0.03841676367869616,694,105,0.1512946499329981,1
233,8207,151,35,90,149,425,2535,0,0.038058565415957736,700,109,0.15571206125626777,1
0,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,2
1,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,2
2,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,2
3,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,2
4,11165,2,0,0,0,2,0,0,0.00017909913136921287,0,0,0.0,2
5,11165,1,1,0,0,2,0,0,0.00017909913136921287,0,0,0.0,2
6,11164,2,0,1,0,3,0,0,0.0002686486970538193,0,0,0.0,2
7,11163,3,0,1,0,4,0,0,0.00035819826273842574,0,0,0.0,2
8,11163,3,0,1,0,4,0,0,0.00035819826273842574,0,0,0.0,2
9,11162,3,1,1,0,5,0,0,0.0004477478284230321,0,0,0.0,2
10,11161,4,1,1,0,6,0,0,0.0005372973941076386,0,0,0.0,2
11,11159,6,1,1,0,8,0,0,0.0007163965254768515,0,0,0.0,2
12,11156,9,1,1,0,11,0,0,0.0009850452225306707,0,0,0.0,2
13,11156,9,1,1,0,11,0,0,0.0009850452225306707,0,0,0.0,2
14,11155,10,1,1,0,12,0,0,0.0010745947882152772,0,0,0.0,2
15,11154,11,0,2,0,13,0,0,0.0011641443538998836,0,0,0.0,2
16,11152,13,0,2,0,15,0,0,0.0013432434852690964,0,0,0.0,2
17,11151,13,0,2,1,16,0,0,0.001432793050953703,0,0,0.0,2
18,11151,13,0,1,1,15,1,0,0.0013432434852690964,0,0,0.0,2
19,11151,13,0,1,1,15,1,0,0.0013432434852690964,0,0,0.0,2
20,11150,13,0,1,2,16,1,0,0.001432793050953703,0,0,0.0,2
21,11149,12,0,1,4,17,1,0,0.0015223426166383093,0,0,0.0,2
22,11147,14,0,1,4,19,1,0,0.0017014417480075222,0,0,0.0,2
23,11143,17,0,1,5,23,1,0,0.0020596400107459477,0,0,0.0,2
24,11137,20,1,1,7,29,1,0,0.0025969374048535865,0,0,0.0,2
25,11135,20,2,1,8,31,1,0,0.002776036536222799,0,0,0.0,2
26,11130,24,3,1,8,36,1,0,0.0032237843646458313,0,0,0.0,2
27,11126,27,3,1,9,40,1,0,0.003581982627384257,0,0,0.0,2
28,11118,33,3,2,10,48,1,0,0.004298379152861109,0,0,0.0,2
29,11109,40,5,2,10,57,1,0,0.005104325244022567,0,0,0.0,2
30,11105,42,4,4,10,60,2,0,0.005372973941076386,0,0,0.0,2
31,11097,47,7,3,10,67,3,0,0.005999820900868631,0,0,0.0,2
32,11088,51,7,5,13,76,3,0,0.006805766992030089,0,0,0.0,2
33,11077,57,10,6,13,86,4,0,0.007701262648876153,0,0,0.0,2
34,11076,54,13,6,14,87,4,0,0.007790812214560759,0,0,0.0,2
35,11076,51,13,7,16,87,4,0,0.007790812214560759,0,0,0.0,2
36,11069,50,17,7,19,93,5,0,0.008328109608668397,0,0,0.0,2
37,11062,56,14,10,20,100,5,0,0.008954956568460643,0,0,0.0,2
38,11059,57,15,10,21,103,5,0,0.009223605265514462,0,0,0.0,2
39,11055,53,15,11,27,106,6,0,0.009492253962568281,1,1,0.9900990099009901,2
40,11053,53,11,15,29,108,6,0,0.009671353093937494,2,1,0.49751243781094534,2
41,11048,52,12,17,32,113,6,0,0.010119100922360527,3,2,0.6644518272425249,2
42,11040,56,16,14,32,118,9,0,0.010566848750783559,4,3,0.7481296758104738,2
43,11032,59,18,15,33,125,10,0,0.011193695710575803,5,3,0.5988023952095809,2
44,11026,60,19,16,35,130,11,0,0.011641443538998836,6,4,0.6655574043261232,2
45,11021,55,24,18,38,135,11,0,0.012089191367421868,7,4,0.5706134094151213,2
46,11012,63,22,20,35,140,15,0,0.0125369391958449,7,4,0.5706134094151213,2
47,11006,64,19,25,37,145,16,0,0.012984687024267933,8,5,0.6242197253433208,2
48,10996,68,19,25,38,150,21,0,0.013432434852690965,9,6,0.6659267480577137,2
49,10990,71,19,26,33,149,28,0,0.013342885287006358,10,6,0.5994005994005994,2
50,10981,75,15,30,34,154,32,0,0.01379063311542939,11,7,0.6357856494096277,2
51,10975,78,14,33,33,158,34,0,0.014148831378167815,12,8,0.6661115736885929,2
52,10964,79,16,33,38,166,37,0,0.014865227903644668,13,8,0.6149116064565718,2
53,10951,83,18,34,42,177,39,0,0.01585027312617534,13,9,0.6917755572636434,2
54,10944,81,20,36,44,181,42,0,0.016208471388913764,14,10,0.7137758743754461,2
55,10934,82,22,38,47,189,44,0,0.016924867914390615,16,11,0.6870705808869456,2
56,10925,89,18,42,48,197,45,0,0.017641264439867466,16,13,0.8119925046845721,2
57,10914,97,18,39,50,204,49,0,0.01826811139965971,18,14,0.7773459189339256,2
58,10902,104,16,39,50,209,56,0,0.018715859228082745,20,15,0.7496251874062968,2
59,10892,105,20,41,52,218,57,0,0.0195218053192442,21,16,0.7615421227986673,2
60,10878,113,21,38,49,221,68,0,0.01979045401629802,24,18,0.7496876301541024,2
61,10870,111,21,36,54,222,75,0,0.01988000358198263,26,19,0.7304882737408689,2
62,10862,105,23,38,61,227,78,0,0.02032775141040566,28,20,0.7140307033202428,2
63,10850,111,21,42,62,236,81,0,0.021133697501567118,30,22,0.7330889703432188,2
64,10842,109,25,45,65,244,81,0,0.021850094027043968,32,21,0.6560449859418932,2
65,10834,111,20,46,67,244,89,0,0.021850094027043968,35,24,0.6855184233076265,2
66,10821,113,20,49,73,255,91,0,0.02283513924957464,36,24,0.6664815329075258,2
67,10814,109,24,48,75,256,97,0,0.022924688815259248,40,26,0.6498375406148463,2
68,10804,106,25,48,84,263,100,0,0.02355153577505149,45,30,0.6665185514330149,2
69,10791,111,20,52,89,272,104,0,0.02435748186621295,47,32,0.6807062327164434,2
70,10778,116,18,51,94,279,110,0,0.024984328826005195,51,36,0.7057439717702412,2
71,10762,122,16,54,98,290,115,0,0.025969374048535866,54,37,0.6850583225328644,2
72,10747,126,17,54,102,299,121,0,0.02677532013969732,57,40,0.7016312927556569,2
73,10734,125,18,48,109,300,133,0,0.02686486970538193,60,40,0.6665555740709882,2
74,10722,129,19,47,109,304,141,0,0.027223067968120355,63,42,0.6665608633550231,2
75,10709,133,20,50,107,310,148,0,0.027760365362227993,66,42,0.6362672322375397,2
76,10697,133,20,48,112,313,157,0,0.028029014059281813,70,46,0.6570489930009998,2
77,10683,131,21,51,120,323,161,0,0.028924509716127877,73,45,0.6163539241199836,2
78,10672,130,23,55,122,330,165,0,0.029551356675920123,75,43,0.5732568990801226,2
79,10654,135,27,52,127,341,172,0,0.030536401898450794,80,46,0.574928133983252,2
80,10643,137,23,57,127,344,180,0,0.03080505059550461,83,47,0.5661968437537646,2
81,10639,127,25,58,131,341,187,0,0.030536401898450794,87,49,0.5631536604987932,2
82,10627,130,23,56,131,340,200,0,0.030446852332766186,91,51,0.5603779804417097,2
83,10619,125,26,53,134,338,210,0,0.030267753201396973,94,53,0.5637698117221572,2
84,10610,117,32,55,137,341,216,0,0.030536401898450794,98,59,0.6019793898581777,2
85,10602,114,33,53,135,335,230,0,0.029999104504343153,101,59,0.5841005841005841,2
86,10591,117,32,56,131,336,240,0,0.03008865407002776,103,59,0.5727599262207552,2
87,10582,115,31,57,133,336,249,0,0.03008865407002776,108,65,0.6017961299879641,2
