type,country,state/province,epoch,even_id,date,value,restriction
entertainment/cultural sector closure,SAU,,1584230400000.0,da2157fe-6036-483b-a063-dd2ae3db6877,2020-03-15,Parks and public gardens,1
school closure,USA,USA-MN,1584230400000.0,f7ac2ca6-1685-48c2-a35d-4e19f9db4f85,2020-03-15,Only schools (primary/secondary) closed,1
entertainment/cultural sector closure,USA,USA-MN,1584144000000.0,2d50da36-cce3-465d-940a-3b9dc6d81c62,2020-03-14,Parks and public gardens,1
work restrictions,USA,USA-MN,1587081600000.0,c9b68408-c5d9-4826-8609-6a9b64167f59,2020-04-17,Mandatory work from home enforcement for non-essential workers,0
entertainment/cultural sector closure,SAU,,1584144000000.0,d2d76300-388e-454e-b66f-9fde927233f9,2020-03-14,Gyms and pools,1
confinement,USA,USA-MN,1587081600000.0,347765cb-1886-455d-804d-7bbd3e581c8f,2020-04-17,Mandatory/advisedfor all the population,0
work restrictions,USA,USA-MN,1585267200000.0,62bfc25c-51ad-4d49-a5a5-9997013a53e5,2020-03-27,Mandatory work from home enforcement for non-essential workers,1
work restrictions,USA,USA-MN,1586304000000.0,e260fd43-c82b-47b6-a184-83d4a867019d,2020-04-08,Mandatory work from home enforcement for non-essential workers,0
entertainment/cultural sector closure,SAU,,1584144000000.0,541334bf-c381-4e50-975f-9d82d4d58cdd,2020-03-14,"Museums, theaters, cinema, libraries, festivities",1
confinement,SAU,,1583712000000.0,49aa7535-0be1-4495-a982-29da50eacfaf,2020-03-09,na,1
entertainment/cultural sector closure,SAU,,1584230400000.0,0f01ff77-4459-41f3-851d-c2905711ca96,2020-03-15,"Museums, theaters, cinema, libraries, festivities",1
entertainment/cultural sector closure,USA,USA-MN,1584316800000.0,bbabed61-bf5c-45eb-b60d-9d0d9cfc7d0b,2020-03-16,Gyms and pools,1
mass gatherings,USA,USA-MN,1584144000000.0,1feb94b7-8ead-40fb-86cd-5b91f7028d1e,2020-03-14,50,1
domestic flight restriction,SAU,,1584662400000.0,68d06483-95e7-419a-aec5-e53bc9fc253b,2020-03-20,na,1
