flow,origin,destination
0.0,11,38
0.0,11,39
0.0,11,40
0.0,11,42
0.0565,11,45
0.0,11,46
0.0,11,47
0.0,11,48
0.0,11,49
0.0,11,50
0.0,11,52
0.0,11,53
0.0,11,54
0.0,11,56
0.0081,11,58
0.0,11,59
0.0,11,60
0.0,11,63
0.0,11,65
0.0,11,75
0.0,11,98
0.0,11,100
0.0,11,108
0.0,12,1
0.0,12,2
0.0017,12,3
0.0,12,4
0.0,12,5
0.0,12,6
0.0,12,7
0.0,12,8
0.0,12,9
0.0,12,10
0.0,12,11
0.9641,12,12
0.0103,12,13
0.0,12,14
0.0154,12,15
0.0,12,16
0.0,12,17
0.0,12,18
0.0,12,19
0.0,12,20
0.0,12,21
0.0,12,22
0.0,12,23
0.0,12,24
0.0,12,26
0.0,12,27
0.0,12,28
0.0,12,29
0.0,12,30
0.0,12,31
0.0,12,33
0.0,12,34
0.0,12,35
0.0,12,36
0.0,12,37
0.0,12,38
0.0,12,39
0.0,12,40
0.0,12,42
0.0,12,44
0.0,12,45
0.0,12,46
0.0,12,48
0.0,12,49
0.0,12,50
0.0,12,51
0.0,12,52
0.0,12,53
0.0,12,56
0.0,12,58
0.0017,12,60
0.0,12,61
0.0,12,63
0.0,12,64
0.0,12,65
0.0,12,66
0.0,12,72
0.0,12,73
0.0,12,74
0.0,12,78
0.0,12,79
0.0,12,81
0.0,12,82
0.0,12,85
0.0,12,87
0.0,12,89
0.0,12,90
0.0,12,92
0.0,12,96
0.0,12,97
0.0,12,98
0.0,12,99
0.0,12,102
0.0068,12,103
0.0,12,108
0.0,12,110
0.0,13,1
0.0,13,2
0.0,13,3
0.0,13,4
0.0,13,5
0.0,13,6
0.0,13,7
0.0,13,8
0.0,13,9
0.0,13,10
0.0,13,11
0.0127,13,12
0.9406,13,13
0.0106,13,14
0.0021,13,15
0.0,13,16
0.0,13,17
0.0,13,18
0.0,13,19
0.0,13,20
0.0,13,21
0.0,13,22
0.0,13,23
0.0,13,24
0.0,13,25
0.0,13,26
0.0,13,27
0.0,13,28
0.0,13,30
0.0,13,33
0.0,13,34
0.0,13,35
0.0,13,36
0.0,13,37
0.0,13,38
0.0,13,39
0.0,13,40
0.0,13,42
0.0,13,45
0.0,13,46
0.0,13,48
0.0,13,49
0.0,13,50
0.0,13,53
0.0,13,58
0.0,13,60
0.0,13,65
0.0,13,69
0.0,13,78
0.0,13,96
0.0191,13,97
0.0,13,98
0.0,13,99
0.0,13,103
0.0149,13,108
0.0,14,1
0.0,14,2
0.0,14,3
0.0,14,4
0.0,14,6
0.0,14,7
0.0,14,9
0.0,14,12
0.0033,14,13
0.9933,14,14
0.0,14,15
0.0,14,16
0.0,14,17
0.0,14,18
0.0,14,19
0.0,14,20
0.0,14,21
0.0,14,22
0.0,14,23
0.0,14,24
0.0,14,25
0.0,14,26
0.0,14,27
0.0,14,33
0.0,14,34
0.0,14,35
0.0,14,36
0.0,14,37
0.0,14,43
0.0,14,44
0.0,14,46
0.0,14,48
0.0,14,51
0.0,14,55
0.0,14,58
0.0,14,60
0.0,14,63
0.0,14,66
0.0,14,96
0.0033,14,97
0.0,14,98
0.0,14,99
0.0,14,108
0.0005,15,1
0.0005,15,2
0.001,15,3
0.0,15,4
0.0,15,5
0.0,15,6
0.0,15,7
0.0,15,8
0.0,15,9
0.0,15,10
0.0,15,11
0.004,15,12
0.0,15,13
0.0,15,14
0.9764,15,15
0.002,15,16
0.0,15,17
0.0025,15,18
0.0015,15,19
0.0,15,20
0.0,15,21
0.0,15,22
0.0,15,23
0.0,15,24
0.0,15,25
0.0,15,26
0.0,15,27
0.0,15,28
0.0,15,29
0.0,15,30
0.0,15,31
0.0,15,32
0.0,15,33
0.0,15,34
0.0,15,35
0.0,15,36
0.0,15,37
0.0,15,38
0.0,15,39
0.0,15,40
0.0,15,41
0.0,15,42
0.0,15,43
0.0,15,44
0.0,15,45
0.0,15,46
0.0,15,47
0.0,15,48
0.0,15,49
0.0,15,50
0.0,15,51
0.0,15,52
0.0005,15,53
0.0,15,54
0.0,15,55
0.0,15,56
0.0,15,58
0.0,15,59
0.0,15,60
0.0,15,61
0.0,15,62
0.0,15,63
0.0,15,65
0.0,15,67
0.0,15,68
0.0,15,69
0.0,15,70
0.0,15,71
0.0,15,72
0.0,15,73
0.0,15,74
0.0,15,75
0.0,15,79
0.0,15,80
0.0,15,81
0.0,15,82
0.0,15,87
0.0,15,88
0.0,15,90
0.0,15,92
0.0,15,93
0.0,15,95
0.0,15,96
0.0,15,97
0.002,15,98
