evid_id,even_id,sent_id,doc_url,crawl_id,crawl_date,text,citation_url,anno_provided_url,fine_grained_location,type,country,date,value,restriction,source_type
5af91149-ef92-4110-ae60-66ab106ecf69,dca5da76-6910-4713-bd67-4200f716f8c5,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_187,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The Italian Basketball Federation suspended all of its championship games, including Lega Basket Serie A.Istituto Tecnico Economico Enrico Tosi in Varese, Istituto Comprensivo di Pianoro in Bologna and Liceo Attilio Bertolucci in Parma conducted lessons for students online while waiting for the schools to reopen.",https://www.raisport.rai.it/articoli/2020/02/basket-A-A2-maschile-femminile-6592d551-065e-4245-931a-488e53809874.html|https://parma.repubblica.it/cronaca/2020/02/26/news/coronavirus_confinati_si_isolati_no_il_racconto_dei_liceali_di_parma_dalle_loro_camere-249616316/,,The Italian Basketball Federation|Lega Basket Serie A.Istituto|Varese|Istituto Comprensivo Di Pianoro|Bologna|Parma,entertainment/cultural sector closure,ITA,2020-02-25,"Museums, theaters, cinema, libraries, festivities",1,O
80b6b94b-80bb-46f3-b353-1ebb4e28c2fb,b4c947d3-0afd-43d3-a39d-7a5c1c9d21d1,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_158,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"On 22 February 2020, Prime Minister Giuseppe Conte suspended all sporting events in the regions of Lombardy and Veneto, which included three Serie A football matches in those regions, as well as one in Piedmont, that were to be played the following day.",https://www.theguardian.com/football/2020/feb/23/three-serie-a-matches-coronavirus-outbreak-inter-milan,,Lombardy|Veneto|Serie A|Piedmont,entertainment/cultural sector closure,ITA,2020-02-22,Gyms and pools,1,O
2db0ef33-528a-477f-b608-20ccb8661dbd,33d890ff-e2f4-410a-968e-40bd78adfd4a,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_188,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,The University of Palermo suspended all activities until 9 March.,https://livesicilia.it/2020/02/25/universita-lezioni-sospese-e-lauree-a-porte-chiuse_1120700/,,The University Of Palermo,school closure,ITA,2020-03-09,Universities closed,1,O
25b39f3d-cc07-4d6a-a63d-f25dc3109752,33d890ff-e2f4-410a-968e-40bd78adfd4a,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_467,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"On 9 March, the government extended the lockdown to the national territory, closing all schools and universities until 3 April.",https://apnews.com/3ff579e06d07428f0bc993c0a98c001d,,Italy,school closure,ITA,2020-03-09,Universities closed,1,O
d9dda583-b5e4-4176-b3f7-93ab3b62c74e,e1b9c132-26dd-4098-868f-59ec35fcf0c1,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_229,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The same day, the government ruled that all sporting events in Italy would be played behind closed doors until 3 April.",https://www.football-italia.net/150823/official-behind-closed-doors-until-april-3,,Italy,entertainment/cultural sector closure,ITA,2020-04-03,Gyms and pools,1,O
95d1a3d6-30bb-40aa-9d5f-0e851527951b,c074e3ad-c976-47a1-9622-d41e915b2e20,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_195,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,Roma Motodays was postponed to 17 to 19 April.,https://www.repubblica.it/motori/sezioni/moto/2020/02/25/news/motodays_coronavirus_rinvio-249562967/,,Roma,entertainment/cultural sector closure,ITA,2020-03-09,"Museums, theaters, cinema, libraries, festivities",1,O
fd8bf6ef-25fc-4de9-9c35-e8e252aed1f0,53518df3-9361-4739-b6bf-860cbd00a855,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_235,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The decree also established the closure of all gyms, swimming pools, spas and wellness centres.",https://www.romatoday.it/attualita/coronavirus-pub-cinema-teatri-locali-chiusi-nuovo-decreto.html,,Italy,entertainment/cultural sector closure,ITA,2020-02-06,Gyms and pools,1,O
0f386e4f-8c32-4d70-b174-118f4760c9d5,ab8f2d10-2b69-4c03-a224-50e88d104312,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_463,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"After the first outbreak in Lombardy and Veneto, the regional governments of Emilia-Romagna, Friuli Venezia Giulia, Liguria, Lombardy, Piedmont, Trentino, and Veneto closed all schools and universities from 23 February to 1 March.",http://www.today.it/attualita/scuole-chiuse-coronavirus-dove-quando.html,,Lombardy|Veneto|Emilia-Romagna|Friuli Venezia Giulia|Liguria|Lombardy|Piedmont|Trentino|Veneto,school closure,ITA,2020-02-23,Universities closed,1,O
16f398e5-e92e-415b-9b5a-bed63ba0c847,ab8f2d10-2b69-4c03-a224-50e88d104312,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_157,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"Universities in Lombardy, Veneto, Trentino Alto-Adige, Piedmont and Emilia-Romagna suspended all activities from 23 February until 1 March.",https://magazine.unibo.it/archivio/2020/coronavirus-sospensione-attivita-didattica-e-misure-precauzionali-contro-la-diffusione-dell2019infezione,,Lombardy|Veneto|Trentino Alto-Adige|Piedmont|Emilia-Romagna,school closure,ITA,2020-02-23,Universities closed,1,O
0bc6b383-b936-4ecc-ade7-71b71672c5da,3ae6323a-8f88-4101-b6fa-75bc686d4a5e,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_218,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,Universities in Lombardy extended their closure until 7 March.,https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_aggiornamento_ora_per_ora-249241616/,,Lombardy,school closure,ITA,2020-03-07,Universities closed,1,O
29da26be-2293-4f87-b408-7f8be29a0344,3ae6323a-8f88-4101-b6fa-75bc686d4a5e,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_218,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,Universities in Lombardy extended their closure until 7 March.,https://www.repubblica.it/cronaca/2020/02/22/news/coronavirus_in_italia_aggiornamento_ora_per_ora-249241616/,,Lombardy,school closure,ITA,2020-03-07,Universities closed,1,O
ff71a284-613e-403c-a9ed-f72874f6ffe6,7809fa02-f326-455f-a05c-1c0362a2444a,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_228,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"On 4 March, the Italian government imposed the shutdown of all schools and universities nationwide for two weeks as the country reached 100 deaths from the outbreak.",https://www.theguardian.com/world/2020/mar/04/italy-orders-closure-of-schools-and-universities-due-to-coronavirus,,Italian,school closure,ITA,2020-03-04,Universities closed,1,O
b3d6e37f-f24c-4776-95bb-be993cbc93e8,7809fa02-f326-455f-a05c-1c0362a2444a,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_465,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"On 4 March, the government announced the closure of all schools and colleges until 15 March.",http://www.thetelegram.com/news/world/coronavirus-deprives-nearly-300-million-students-of-their-schooling-unesco-419714/,,Italy,school closure,ITA,2020-03-04,Universities closed,1,O
0855dd8d-733d-498d-8899-a8c15c9ee741,b4c9c1d4-c092-4fea-8cb5-313ddf4432a7,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_171,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,"The governor of Basilicata, Vito Bardi, instituted a mandatory 14-day quarantine for people arriving from areas in Northern Italy affected by the outbreak.",https://www.repubblica.it/cronaca/2020/02/24/news/coronavirus_149_i_casi_confermati_conte_i_contagi_possono_crescere_-249427098/,,Basilicata|Northern Italy,confinement,ITA,2020-02-24,na,1,O
cff9734c-19cb-458b-acb3-f0e431b075c8,b4c9c1d4-c092-4fea-8cb5-313ddf4432a7,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_169,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,On 24 February 500 additional police officers were assigned to patrol the quarantined areas in Lodi and Veneto.,,,Lodi|Veneto,confinement,ITA,2020-02-24,na,1,W
50052327-8894-48af-809a-c52e3b792abf,266373b0-9859-49e7-b30c-38272a737579,a2bff85a-8fe2-11ea-a170-069b8ffc8dc8_327,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Italy,2020-05-06_d0cba9ae-8fda-11ea-b351-069b8ffc8dc8,2020-05-06,Israeli passengers were allowed to enter the country and were quarantined at home for 14 days.,https://www.jpost.com/Breaking-News/Israeli-who-came-back-from-Italy-diagnosed-with-coronavirus-619053,,Israeli,introduction of travel quarantine policies,ITA,2020-02-27,na,1,O
