,2020-01-18,Origin,Destination
409,0.0,8,90
410,0.0,8,96
411,0.0,8,97
412,0.0,8,108
413,0.0,9,1
414,0.0,9,2
415,0.0,9,3
416,0.0444,9,4
417,0.0068,9,5
418,0.0102,9,6
419,0.0,9,7
420,0.041,9,8
421,0.843,9,9
422,0.0512,9,10
423,0.0,9,11
424,0.0,9,12
425,0.0,9,13
426,0.0,9,14
427,0.0034,9,15
428,0.0,9,16
429,0.0,9,17
430,0.0,9,18
431,0.0,9,19
432,0.0,9,20
433,0.0,9,21
434,0.0,9,22
435,0.0,9,23
436,0.0,9,26
437,0.0,9,28
438,0.0,9,33
439,0.0,9,34
440,0.0,9,35
441,0.0,9,37
442,0.0,9,38
443,0.0,9,40
444,0.0,9,41
445,0.0,9,45
446,0.0,9,46
447,0.0,9,48
448,0.0,9,52
449,0.0,9,58
450,0.0,9,60
451,0.0,9,65
452,0.0,9,96
453,0.0,9,97
454,0.0,9,98
455,0.0,9,103
456,0.0,9,108
457,0.0076,10,1
458,0.0,10,2
459,0.0,10,3
460,0.0076,10,4
461,0.0,10,5
462,0.0305,10,6
463,0.0015,10,7
464,0.0015,10,8
465,0.0244,10,9
466,0.9069,10,10
467,0.0076,10,11
468,0.0015,10,12
469,0.0,10,13
470,0.0,10,14
471,0.0015,10,15
472,0.0,10,16
473,0.0,10,17
474,0.0,10,18
475,0.0,10,19
476,0.0,10,20
477,0.0,10,21
478,0.0,10,22
479,0.0,10,23
480,0.0,10,24
481,0.0,10,26
482,0.0,10,27
483,0.0,10,28
484,0.0,10,33
485,0.0015,10,34
486,0.0,10,35
487,0.0,10,36
488,0.0,10,37
489,0.0,10,38
490,0.0,10,39
491,0.0,10,40
492,0.0,10,42
493,0.0031,10,45
494,0.0046,10,46
495,0.0,10,47
496,0.0,10,48
497,0.0,10,49
498,0.0,10,50
499,0.0,10,51
500,0.0,10,52
501,0.0,10,53
502,0.0,10,54
503,0.0,10,55
504,0.0,10,56
505,0.0,10,58
506,0.0,10,59
507,0.0,10,60
508,0.0,10,61
509,0.0,10,63
510,0.0,10,65
511,0.0,10,69
512,0.0,10,72
513,0.0,10,82
514,0.0,10,87
515,0.0,10,89
516,0.0,10,90
517,0.0,10,93
518,0.0,10,96
519,0.0,10,97
520,0.0,10,98
521,0.0,10,100
522,0.0,10,103
523,0.0,10,108
524,0.0,11,1
525,0.0,11,4
526,0.0,11,6
527,0.0,11,7
528,0.0,11,8
529,0.0,11,9
530,0.0263,11,10
531,0.8026,11,11
532,0.0,11,12
533,0.0,11,13
534,0.0,11,15
535,0.0,11,16
536,0.0,11,17
537,0.0,11,18
538,0.0,11,19
539,0.0,11,20
540,0.0,11,23
541,0.0,11,24
542,0.0,11,30
543,0.0,11,33
544,0.0,11,34
545,0.0,11,35
546,0.0,11,36
547,0.0,11,37
548,0.0,11,38
549,0.0,11,39
550,0.0,11,40
551,0.0,11,42
552,0.1316,11,45
553,0.0329,11,46
554,0.0,11,47
555,0.0,11,48
556,0.0,11,49
557,0.0066,11,50
558,0.0,11,52
559,0.0,11,53
560,0.0,11,54
561,0.0,11,56
562,0.0,11,58
563,0.0,11,59
564,0.0,11,60
565,0.0,11,63
566,0.0,11,65
567,0.0,11,75
568,0.0,11,98
569,0.0,11,100
570,0.0,11,108
571,0.0,12,1
572,0.0,12,2
573,0.03,12,3
574,0.0,12,4
575,0.0,12,5
576,0.0014,12,6
577,0.0014,12,7
578,0.0,12,8
579,0.0,12,9
580,0.0,12,10
581,0.0,12,11
582,0.7539,12,12
583,0.0315,12,13
584,0.0014,12,14
585,0.1345,12,15
586,0.0029,12,16
587,0.0014,12,17
588,0.0029,12,18
589,0.0,12,19
590,0.0,12,20
591,0.0,12,21
592,0.0,12,22
593,0.0,12,23
594,0.0,12,24
595,0.0,12,26
596,0.0,12,27
597,0.0,12,28
598,0.0,12,29
599,0.0,12,30
600,0.0,12,31
601,0.0,12,33
602,0.0,12,34
603,0.0,12,35
604,0.0,12,36
605,0.0,12,37
606,0.0,12,38
607,0.0,12,39
608,0.0,12,40
609,0.0,12,42
610,0.0,12,44
611,0.0,12,45
612,0.0,12,46
613,0.0,12,48
614,0.0,12,49
615,0.0,12,50
616,0.0,12,51
617,0.0,12,52
618,0.0,12,53
619,0.0,12,56
620,0.0,12,58
621,0.0,12,60
622,0.0,12,61
623,0.0014,12,63
624,0.0,12,64
625,0.0,12,65
626,0.0,12,66
627,0.0,12,72
628,0.0,12,73
629,0.0,12,74
630,0.0,12,78
631,0.0,12,79
632,0.0014,12,81
633,0.0014,12,82
634,0.0,12,85
635,0.0014,12,87
636,0.0,12,89
637,0.0,12,90
638,0.0,12,92
639,0.0014,12,96
640,0.0014,12,97
641,0.0,12,98
642,0.0014,12,99
643,0.0,12,102
644,0.0086,12,103
645,0.02,12,108
646,0.0,12,110
647,0.0017,13,1
648,0.0017,13,2
649,0.0017,13,3
650,0.0,13,4
651,0.0,13,5
652,0.0,13,6
653,0.0,13,7
654,0.0,13,8
655,0.0,13,9
656,0.0017,13,10
657,0.0,13,11
658,0.0436,13,12
659,0.7265,13,13
660,0.0157,13,14
661,0.0418,13,15
662,0.007,13,16
663,0.0017,13,17
664,0.0,13,18
665,0.0,13,19
666,0.0,13,20
667,0.0,13,21
668,0.0,13,22
669,0.0017,13,23
670,0.0,13,24
671,0.0,13,25
672,0.0,13,26
673,0.0,13,27
674,0.0,13,28
675,0.0,13,30
676,0.0,13,33
677,0.0,13,34
678,0.0,13,35
679,0.0,13,36
680,0.0,13,37
681,0.0,13,38
682,0.0,13,39
683,0.0,13,40
684,0.0,13,42
685,0.0,13,45
686,0.0,13,46
687,0.0,13,48
688,0.0,13,49
689,0.0,13,50
690,0.0,13,53
691,0.0,13,58
692,0.0,13,60
693,0.0017,13,65
694,0.0,13,69
695,0.0,13,78
696,0.0,13,96
697,0.0401,13,97
698,0.0,13,98
699,0.0,13,99
700,0.0,13,103
701,0.1132,13,108
702,0.0027,14,1
703,0.0,14,2
704,0.0,14,3
705,0.0,14,4
706,0.0,14,6
707,0.0,14,7
708,0.0,14,9
709,0.0,14,12
710,0.0163,14,13
711,0.9268,14,14
712,0.0054,14,15
713,0.0027,14,16
714,0.019,14,17
715,0.0,14,18
716,0.0,14,19
