"source","target","weight"
25,32,24
25,34,1
25,35,1
25,37,8
25,38,12
25,39,1
25,40,1
25,51,2
25,93,72
25,96,5
25,99,1
26,0,23
26,1,7
26,2,3
26,3,4
26,6,6
26,12,5
26,13,3
26,14,33
26,15,55
26,16,9
26,17,186
26,18,37
26,19,1
26,20,8
26,21,32
26,22,115
26,23,185
26,24,7382
26,25,1989
26,26,425694
26,27,23525
26,28,9752
26,29,111
26,30,690
26,31,50
26,32,116
26,33,18
26,34,15
26,35,4
26,36,7
26,37,98
26,38,38
26,39,3
26,40,4
26,41,10
26,42,1
26,43,2
26,46,3
26,48,5
26,50,2
26,52,4
26,58,3
26,93,5692
26,96,18
26,97,1
26,98,2
26,99,1
26,100,2
26,103,1
26,108,6
27,0,13
27,1,2
27,2,15
27,3,5
27,4,3
27,5,5
27,6,2
27,10,22
27,11,3
27,12,14
27,13,21
27,14,3
27,15,115
27,16,15
27,17,80
27,18,2
27,19,4
27,20,13
27,21,25
27,22,44
27,23,428
27,24,1524
27,25,92
27,26,19311
27,27,376296
27,28,28058
27,29,2095
27,30,2112
27,31,151
27,32,474
27,33,34
27,34,14
27,35,15
27,36,23
27,37,180
27,38,247
27,39,28
27,40,16
27,41,16
27,42,4
27,45,1
27,46,1
27,47,1
27,48,12
27,49,1
27,50,9
27,52,4
27,55,3
27,57,4
27,58,5
27,67,1
27,93,4166
27,96,16
27,97,4
27,98,3
27,99,4
27,100,3
27,103,11
27,108,2
28,0,23
28,1,9
28,3,1
28,5,2
28,6,9
28,10,4
28,12,16
28,13,3
28,14,2
28,15,124
28,16,31
28,17,83
28,18,7
28,19,10
28,20,55
28,21,34
28,22,74
28,23,2971
28,24,15090
28,25,110
28,26,9076
28,27,19191
28,28,446846
28,29,5435
28,30,67
28,31,17
28,32,28
28,33,236
28,34,20
28,35,20
28,36,39
28,37,434
28,38,1030
28,39,39
28,40,18
28,41,30
28,42,1
28,43,2
28,45,2
28,47,4
28,48,5
28,50,6
28,52,3
28,53,1
28,54,3
28,58,9
28,93,77
28,96,13
28,97,1
28,99,2
28,100,7
28,103,1
28,108,5
29,0,4
29,1,16
29,3,3
29,4,1
29,5,1
29,6,1
29,7,2
29,10,1
29,12,4
29,13,4
29,14,5
29,15,16
29,16,7
29,17,21
29,18,1
29,19,5
29,20,986
29,21,15
29,22,24
29,23,1727
29,24,231
29,25,6
29,26,91
29,27,2305
29,28,5218
29,29,99726
29,30,17
29,31,1
29,32,1
29,33,17
29,34,16
29,35,36
29,36,307
29,37,1123
29,38,7242
29,39,178
29,40,34
29,41,6
29,42,1
29,43,4
29,45,4
29,47,9
29,48,24
29,50,18
29,54,4
29,55,1
29,57,2
29,67,1
29,69,1
29,93,7
29,96,1
29,97,2
29,98,3
29,99,12
29,100,8
29,103,1
29,108,3
30,0,157
30,15,15
30,16,20
30,17,5
30,19,3
30,20,2
30,21,8
30,22,26
30,23,26
30,24,43
30,25,98
30,26,379
30,27,2351
30,28,169
30,29,8
30,30,254458
30,31,6681
30,32,2281
30,33,1
30,34,4
30,35,3
30,36,3
30,37,9
30,38,3
30,39,1
30,40,6
30,47,2
30,48,2
30,50,1
30,52,1
30,93,4121
30,98,2
30,99,2
30,100,3
30,108,1
31,0,216
31,14,1
31,15,4
31,16,1
31,17,1
31,22,3
31,23,6
31,24,18
31,25,4
31,26,49
31,27,138
31,28,23
31,29,10
31,30,6213
31,31,56180
31,32,5345
31,34,2
31,36,3
31,37,5
31,38,1
31,40,3
31,48,1
